,0
1026,-29
1027,-29
1028,-37
1029,-32
1030,-28
1031,-28
1032,-30
1033,-29
1034,-27
1035,-34
1036,-30
1037,-32
1038,-31
1039,-28
1040,-27
1041,-30
1042,-31
1043,-27
1044,-31
1045,-27
1046,-29
1047,-27
1048,-27
1049,-29
1050,-41
1051,-29
1052,-28
1053,-30
1054,-35
1055,-29
1056,-33
1057,-31
1058,-31
1059,-29
1060,-29
1061,-35
1062,-29
1063,-29
1064,-31
1065,-30
1066,-29
1067,-32
1068,-29
1069,-33
1070,-29
1071,-34
1072,-33
1073,-33
1074,-28
1075,-39
1076,-28
1077,-27
1078,-31
1079,-35
1080,-28
1081,-27
1082,-29
1083,-29
1084,-27
1085,-27
1086,-27
1087,-29
1088,-27
1089,-27
1090,-33
1091,-36
1092,-29
1093,-32
1094,-28
1095,-30
1096,-31
1097,-37
1098,-37
1099,-33
1100,-30
1101,-27
1102,-29
1103,-31
1104,-30
1105,-30
1106,-31
1107,-31
1108,-39
1109,-34
1110,-27
1111,-36
1112,-34
1113,-33
1114,-30
1115,-34
1116,-30
1117,-33
1118,-35
1119,-31
1120,-29
1121,-28
1122,-40
1123,-33
1124,-34
1125,-40
1126,-31
1127,-33
1128,-38
1129,-29
1130,-30
1131,-42
1132,-27
1133,-30
1134,-27
1135,-35
1136,-32
1137,-27
1138,-30
1139,-27
1140,-35
1141,-30
1142,-29
1143,-34
1144,-32
1145,-31
1146,-27
1147,-34
1148,-31
1149,-32
1150,-31
1151,-28
1152,-32
1153,-27
1154,-31
1155,-31
1156,-29
1157,-30
1158,-29
1159,-29
1160,-29
1161,-27
1162,-31
1163,-34
1164,-27
1165,-32
1166,-31
1167,-32
1168,-33
1169,-28
1170,-30
1171,-28
1172,-28
1173,-29
1174,-37
1175,-33
1176,-33
1177,-29
1178,-27
1179,-31
1180,-34
1181,-32
1182,-33
1183,-27
1184,-27
1185,-30
1186,-33
1187,-27
1188,-27
1189,-27
1190,-33
1191,-29
1192,-31
1193,-32
1194,-29
1195,-32
1196,-32
1197,-33
1198,-27
1199,-30
1200,-28
1201,-33
1202,-31
1203,-29
1204,-31
1205,-32
1206,-32
1207,-28
1208,-27
1209,-27
1210,-29
1211,-34
1212,-27
1213,-27
1214,-27
1215,-30
1216,-32
1217,-31
1218,-107
1219,-31
1220,-29
1221,-31
1222,-30
1223,-32
1224,-33
1225,-27
1226,-31
1227,-35
1228,-39
1229,-31
1230,-35
1231,-33
1232,-27
1233,-27
1234,-29
1235,-35
1236,-32
1237,-31
1238,-32
1239,-35
1240,-29
1241,-35
1242,-32
1243,-34
1244,-28
1245,-29
1246,-31
1247,-27
1248,-32
1249,-35
1250,-31
1251,-28
1252,-31
1253,-33
1254,-29
1255,-29
1256,-33
1257,-31
1258,-30
1259,-31
1260,-27
1261,-27
1262,-27
1263,-29
1264,-35
1265,-31
1266,-29
1267,-33
1268,-32
1269,-27
1270,-29
1271,-30
1272,-29
1273,-31
1274,-32
1275,-35
1276,-34
1277,-41
1278,-31
1279,-32
1280,-40
1281,-34
1282,-35
1283,-34
1284,-31
1285,-34
1286,-31
1287,-29
1288,-29
1289,-31
1290,-32
1291,-30
1292,-28
1293,-38
1294,-38
1295,-31
1296,-29
1297,-27
1298,-32
1299,-29
1300,-36
1301,-32
1302,-29
1303,-28
1304,-29
1305,-28
1306,-35
1307,-28
1308,-28
1309,-32
1310,-27
1311,-32
1312,-27
1313,-30
1314,-30
1315,-34
1316,-36
1317,-35
1318,-32
1319,-32
1320,-36
1321,-31
1322,-30
1323,-28
1324,-30
1325,-33
1326,-29
1327,-28
1328,-29
1329,-32
1330,-27
1331,-40
1332,-32
1333,-27
1334,-40
1335,-30
1336,-33
1337,-29
1338,-39
1339,-28
1340,-30
1341,-41
1342,-34
1343,-29
1344,-29
1345,-27
1346,-31
1347,-29
1348,-31
1349,-33
1350,-31
1351,-29
1352,-29
1353,-34
1354,-34
1355,-27
1356,-28
1357,-35
1358,-32
1359,-34
1360,-27
1361,-32
1362,-35
1363,-29
1364,-29
1365,-29
1366,-30
1367,-29
1368,-29
1369,-27
1370,-32
1371,-29
1372,-30
1373,-30
1374,-27
1375,-30
1376,-32
1377,-35
1378,-38
1379,-30
1380,-27
1381,-31
1382,-33
1383,-39
1384,-28
1385,-34
1386,-35
1387,-29
1388,-29
1389,-28
