number of states,n of steps,alpha,n_episodes,sigma,RMSE
19,3,0.4,61,0,0.017290446766123225
19,3,0.4,62,0,0.016698031949506257
19,3,0.4,63,0,0.016054484141798057
19,3,0.4,64,0,0.01549415890470234
19,3,0.4,65,0,0.01489461322310953
19,3,0.4,66,0,0.01432160009936015
19,3,0.4,67,0,0.013879991532155033
19,3,0.4,68,0,0.013430448031456193
19,3,0.4,69,0,0.012919008598503772
19,3,0.4,70,0,0.012528156411564408
19,3,0.4,71,0,0.012154762547490636
19,3,0.4,72,0,0.011771484705432832
19,3,0.4,73,0,0.011360407629785881
19,3,0.4,74,0,0.010967335954956303
19,3,0.4,75,0,0.010606420403560048
19,3,0.4,76,0,0.010250698744493237
19,3,0.4,77,0,0.009927860625632447
19,3,0.4,78,0,0.009642931428757683
19,3,0.4,79,0,0.009342884019781889
19,3,0.4,80,0,0.009053491507913498
19,3,0.4,81,0,0.00879710696672858
19,3,0.4,82,0,0.00853023844260038
19,3,0.4,83,0,0.008308888398043729
19,3,0.4,84,0,0.008090707568418338
19,3,0.4,85,0,0.007865853072723597
19,3,0.4,86,0,0.007685460747156537
19,3,0.4,87,0,0.007511647914021854
19,3,0.4,88,0,0.007354299147230248
19,3,0.4,89,0,0.007187942281806366
19,3,0.4,90,0,0.006937989194509358
19,3,0.4,91,0,0.0067324153846785775
19,3,0.4,92,0,0.006571247653427349
19,3,0.4,93,0,0.006371503330548101
19,3,0.4,94,0,0.0062060031900274286
19,3,0.4,95,0,0.006046175948597179
19,3,0.4,96,0,0.005903092859954145
19,3,0.4,97,0,0.00574747865330702
19,3,0.4,98,0,0.005610217315727507
19,3,0.4,99,0,0.005448615977156294
19,3,0.4,100,0,0.005304283054530727
19,3,0.4,1,0.25,0.25979875335969255
19,3,0.4,2,0.25,0.24582285261608647
19,3,0.4,3,0.25,0.23295559281306158
19,3,0.4,4,0.25,0.2204288972234509
19,3,0.4,5,0.25,0.2094641016958369
19,3,0.4,6,0.25,0.19866004055957906
19,3,0.4,7,0.25,0.1881610934822929
19,3,0.4,8,0.25,0.1780573718019729
19,3,0.4,9,0.25,0.1689415901164485
19,3,0.4,10,0.25,0.15961211935951017
19,3,0.4,11,0.25,0.15115347618804398
19,3,0.4,12,0.25,0.14236694073223746
19,3,0.4,13,0.25,0.13388846774557725
19,3,0.4,14,0.25,0.12623544066650413
19,3,0.4,15,0.25,0.11797027899869268
19,3,0.4,16,0.25,0.11093013310762512
19,3,0.4,17,0.25,0.10436620154676968
19,3,0.4,18,0.25,0.09863164910125923
19,3,0.4,19,0.25,0.09332999838735312
19,3,0.4,20,0.25,0.08710778782470255
19,3,0.4,21,0.25,0.08083651720280269
19,3,0.4,22,0.25,0.0763190460205334
19,3,0.4,23,0.25,0.0721518671763683
19,3,0.4,24,0.25,0.06809350889159381
19,3,0.4,25,0.25,0.06460167754501361
19,3,0.4,26,0.25,0.060828731779420435
19,3,0.4,27,0.25,0.05726234569686093
19,3,0.4,28,0.25,0.05347043618134102
19,3,0.4,29,0.25,0.05044486170522739
19,3,0.4,30,0.25,0.04757265139043586
19,3,0.4,31,0.25,0.04531737460329184
19,3,0.4,32,0.25,0.04285928196800747
19,3,0.4,33,0.25,0.040477795987674405
19,3,0.4,34,0.25,0.03827668659155452
19,3,0.4,35,0.25,0.03641980083252453
19,3,0.4,36,0.25,0.03464612352919288
19,3,0.4,37,0.25,0.03275233052274844
19,3,0.4,38,0.25,0.031208077683470635
19,3,0.4,39,0.25,0.029629276253456384
19,3,0.4,40,0.25,0.028413751003000157
19,3,0.4,41,0.25,0.02710632482588784
19,3,0.4,42,0.25,0.02614955771383322
19,3,0.4,43,0.25,0.0251433929444628
19,3,0.4,44,0.25,0.02400588707918592
19,3,0.4,45,0.25,0.022919890714707597
19,3,0.4,46,0.25,0.022097332089954187
19,3,0.4,47,0.25,0.0210951134452949
19,3,0.4,48,0.25,0.02053746503870056
19,3,0.4,49,0.25,0.020098134002346627
19,3,0.4,50,0.25,0.019961910011606455
19,3,0.4,51,0.25,0.018997905399706062
19,3,0.4,52,0.25,0.018308711674534503
19,3,0.4,53,0.25,0.018192166574058727
19,3,0.4,54,0.25,0.017736781901104295
19,3,0.4,55,0.25,0.01749393623553059
19,3,0.4,56,0.25,0.016720827194983447
19,3,0.4,57,0.25,0.01636143511708304
19,3,0.4,58,0.25,0.016249427842315135
19,3,0.4,59,0.25,0.01607657226947487
19,3,0.4,60,0.25,0.016014467928629348
19,3,0.4,61,0.25,0.015579706488201174
19,3,0.4,62,0.25,0.015503449755255812
19,3,0.4,63,0.25,0.01551131295046315
19,3,0.4,64,0.25,0.015772861478547996
19,3,0.4,65,0.25,0.01555681634047709
19,3,0.4,66,0.25,0.015391758550910996
19,3,0.4,67,0.25,0.015194509466949568
19,3,0.4,68,0.25,0.015040883026437498
19,3,0.4,69,0.25,0.015140360176892098
19,3,0.4,70,0.25,0.015267352190252468
19,3,0.4,71,0.25,0.015672966564878536
19,3,0.4,72,0.25,0.015843454880330902
