"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')"
197.66666666666666,201.0
201.0,201.0
201.0,201.0
178.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
175.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
187.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
190.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
191.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
193.33333333333334,201.0
201.0,201.0
201.0,201.0
185.0,201.0
201.0,201.0
174.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
179.66666666666666,201.0
201.0,201.0
174.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
196.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
199.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
184.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
181.0,201.0
201.0,201.0
201.0,201.0
194.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
196.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
177.66666666666666,201.0
201.0,201.0
201.0,201.0
