number of states,n of steps,alpha,RMSE
20,50,0.95,0.05702786654694506
20,50,1.0,0.04132238718345881
20,100,0.01,0.10390320153495253
20,100,0.02,0.05626791434988549
20,100,0.05,0.0331169056290183
20,100,0.08,0.03000024858899628
20,100,0.11,0.02025721226962049
20,100,0.14,0.03071282072209088
20,100,0.17,0.020801626150074488
20,100,0.2,0.02196801471401614
20,100,0.25,0.028621978454564993
20,100,0.3,0.018293072835044666
20,100,0.35,0.04125453741517832
20,100,0.4,0.06605900390578866
20,100,0.45,0.03799698776943543
20,100,0.5,0.10206928435468907
20,100,0.55,0.06909847057583061
20,100,0.6,0.04420747800297348
20,100,0.65,0.04232307454402262
20,100,0.7,0.04259799723594069
20,100,0.75,0.049488580173787905
20,100,0.8,0.032548651292695234
20,100,0.85,0.05210739897886022
20,100,0.9,0.028685183001184923
20,100,0.95,0.020700614187453184
20,100,1.0,0.04668707036945601
20,250,0.01,0.1030891216706303
20,250,0.02,0.05929227802486711
20,250,0.05,0.022357753447158873
20,250,0.08,0.013764119261781338
20,250,0.11,0.031662378447173886
20,250,0.14,0.052483256815896294
20,250,0.17,0.03935451839879403
20,250,0.2,0.022439387597506813
20,250,0.25,0.033202133215654954
20,250,0.3,0.032084110482448774
20,250,0.35,0.04822571067444591
20,250,0.4,0.03773731606648671
20,250,0.45,0.08191502612272308
20,250,0.5,0.03885950151629519
20,250,0.55,0.04768239484915331
20,250,0.6,0.011530952066945096
20,250,0.65,0.03075351023083513
20,250,0.7,0.03330309462418342
20,250,0.75,0.04016100243705844
20,250,0.8,0.03030822595220562
20,250,0.85,0.02645513993510496
20,250,0.9,0.03962651183793751
20,250,0.95,0.052256432448266874
20,250,1.0,0.04319575228969877
