,0,1,2,3
66,100,5,0.05,0.20687574063014855
67,100,10,0.05,0.14356832195642524
68,100,20,0.05,0.057882960825868995
69,100,30,0.05,0.015575907029048855
70,100,40,0.05,0.014001876842228082
71,100,50,0.05,0.02523225003732984
72,100,75,0.05,0.04249638449479347
73,100,100,0.05,0.05067060225637449
74,100,125,0.05,0.0540189142145945
75,100,150,0.05,0.054280212240097735
76,100,175,0.05,0.05954664386651288
77,100,200,0.05,0.05693568892926602
78,100,225,0.05,0.05673206255188784
79,100,250,0.05,0.06534484314208898
80,150,1,0.05,0.27515114441658894
81,150,2,0.05,0.26395027844950153
82,150,5,0.05,0.23288938859208927
83,150,10,0.05,0.18683246965121153
84,150,20,0.05,0.11194999238885586
85,150,30,0.05,0.05927334148118198
86,150,40,0.05,0.025415657886835218
87,150,50,0.05,0.007000259755266153
88,150,75,0.05,0.03118271273287212
89,150,100,0.05,0.048369547061795526
90,150,125,0.05,0.05903627946124291
91,150,150,0.05,0.058020384122072624
92,150,175,0.05,0.05919192479129252
93,150,200,0.05,0.05691791421659714
94,150,225,0.05,0.0643910028960005
95,150,250,0.05,0.06775370484899326
96,200,1,0.05,0.2784846069188454
97,200,2,0.05,0.27010750146974777
98,200,5,0.05,0.2464920078472931
99,200,10,0.05,0.21063663150429165
100,200,20,0.05,0.14850050550576213
101,200,30,0.05,0.0989841584253887
102,200,40,0.05,0.060851206349271936
103,200,50,0.05,0.03456681024308317
104,200,75,0.05,0.013444652746752857
105,200,100,0.05,0.03891019210100788
106,200,125,0.05,0.047863424063466144
107,200,150,0.05,0.061475823378778105
108,200,175,0.05,0.06120375095584586
109,200,200,0.05,0.06610658746160046
110,200,225,0.05,0.06654267076921312
111,200,250,0.05,0.06976790200391848
112,250,1,0.05,0.28050106440721456
113,250,2,0.05,0.2737525489662488
114,250,5,0.05,0.25489503788018997
115,250,10,0.05,0.2256642610847605
116,250,20,0.05,0.1735324281083962
117,250,30,0.05,0.1287760383917513
118,250,40,0.05,0.09173747493842911
119,250,50,0.05,0.06305738455715404
120,250,75,0.05,0.010523129174765639
121,250,100,0.05,0.025458215127833996
122,250,125,0.05,0.03971218090893521
123,250,150,0.05,0.055978891623336365
124,250,175,0.05,0.0595271143080325
125,250,200,0.05,0.06342789428206523
126,250,225,0.05,0.06409717344974299
127,250,250,0.05,0.06419772866720694
128,300,1,0.05,0.28187463492268344
129,300,2,0.05,0.27622583401953565
130,300,5,0.05,0.2604614198933392
131,300,10,0.05,0.235915350626964
132,300,20,0.05,0.1913271347916575
133,300,30,0.05,0.15217511831929081
134,300,40,0.05,0.11791356838149437
135,300,50,0.05,0.08746365429052418
136,300,75,0.05,0.03325321168791686
137,300,100,0.05,0.009470506030883489
138,300,125,0.05,0.033512664158221385
139,300,150,0.05,0.04286511257943597
140,300,175,0.05,0.05572611326395601
141,300,200,0.05,0.05801217520686841
142,300,225,0.05,0.0668057112586582
143,300,250,0.05,0.07902264983310812
144,350,1,0.05,0.28285514338074247
145,350,2,0.05,0.27798133163037053
146,350,5,0.05,0.26439424681940443
147,350,10,0.05,0.24341979110909942
148,350,20,0.05,0.20439771515250565
149,350,30,0.05,0.1696043181751334
150,350,40,0.05,0.1383529695710637
