"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
-15.2,-35.4,-18.6
-11.8,-33.4,-23.4
-16.6,-34.0,-27.4
-10.7,-29.7,-14.1
-16.4,-28.1,-5.4
-16.3,-43.4,-26.0
-12.6,-35.0,-11.6
-18.0,-32.4,-14.2
-15.4,-27.4,-16.5
-26.0,-30.4,-17.3
-20.5,-36.5,-23.9
-14.1,-38.7,-19.0
-5.5,-25.8,-13.5
-18.3,-19.1,-4.6
-19.5,-22.6,-20.3
-17.6,-33.1,-14.9
-13.6,-40.6,-14.4
-17.0,-26.4,-18.7
-16.1,-35.6,-21.1
-18.0,-44.1,-11.8
-28.6,-26.3,-22.0
-22.4,-43.7,-12.2
-13.7,-33.3,-10.8
-9.6,-23.4,-18.2
-12.9,-38.5,-12.4
-11.2,-39.1,-40.5
-17.6,-20.1,-13.2
-29.4,-24.9,-13.7
-12.1,-41.0,-12.4
-18.1,-21.3,-14.0
-12.8,-22.8,-19.6
-9.9,-51.9,-23.5
-9.5,-26.1,-11.1
-19.8,-34.2,-11.3
-13.7,-38.0,-17.7
-15.6,-21.7,-24.4
-11.8,-36.0,-9.7
-16.3,-33.4,-11.6
-7.2,-17.0,-12.6
-8.7,-42.1,-17.7
-11.7,-33.1,-13.6
-10.6,-32.9,-9.2
-18.8,-27.0,-13.5
-16.7,-21.6,-9.5
-7.6,-29.1,-14.3
-17.6,-28.0,-12.0
-5.4,-23.7,-17.8
-13.7,-27.8,-15.5
-15.1,-36.6,-15.4
-10.8,-32.2,-6.8
-9.3,-44.3,-16.6
-13.3,-18.9,-14.6
-8.2,-19.7,-10.1
-13.4,-28.0,-14.3
-11.9,-25.2,-14.3
-20.3,-35.0,-12.4
-11.5,-26.0,-12.6
-24.3,-35.8,-18.4
-11.4,-49.2,-16.3
-11.5,-18.7,-14.3
-12.5,-20.3,-12.3
-14.0,-35.7,-11.7
-11.6,-21.1,-26.1
-14.7,-31.3,-11.6
-5.1,-27.1,-5.3
-10.5,-23.1,-14.6
-17.9,-29.2,-16.1
-8.0,-21.0,-21.3
-9.4,-15.1,-12.6
-13.8,-39.8,-7.9
-14.2,-22.7,-9.8
-23.9,-28.2,-7.3
-13.0,-25.4,-12.0
-10.9,-33.2,-15.8
-12.7,-27.9,-25.3
-5.7,-19.2,-6.2
-7.3,-21.5,-23.4
-19.9,-43.5,-11.6
-14.3,-24.4,-13.4
-10.6,-23.7,-11.3
-15.7,-36.5,-14.9
-15.2,-21.9,-9.8
-21.8,-27.0,-15.2
-14.9,-25.0,-11.8
-8.5,-37.9,-9.9
-14.5,-25.0,-10.0
-13.2,-19.8,-11.9
-14.8,-18.2,-17.1
-9.3,-23.2,-11.9
-11.0,-28.0,-12.6
-9.2,-32.0,-13.0
-22.7,-28.9,-10.7
-16.5,-28.5,-11.4
-7.3,-15.4,-16.3
-11.1,-20.2,-6.4
-7.0,-21.3,-10.2
-14.7,-24.3,-12.7
-15.2,-19.0,-5.6
-6.2,-20.8,-17.2
-18.2,-39.3,-12.5
-21.8,-30.2,-12.1
-18.8,-29.8,-15.4
-15.7,-15.2,-15.8
-14.7,-22.5,-8.5
-12.7,-19.3,-12.8
-8.1,-23.3,-9.5
-13.5,-42.3,-9.7
-14.2,-18.6,-13.6
-15.2,-31.1,-9.5
-6.8,-22.0,-9.1
-18.1,-33.3,-18.5
-11.9,-21.1,-12.5
-9.1,-14.7,-4.4
-12.1,-22.0,-16.0
-9.1,-35.6,-10.9
-4.0,-21.2,-11.1
-11.5,-32.9,-13.4
-13.5,-28.5,-24.8
-20.6,-21.9,-15.0
-10.9,-9.6,-10.2
-11.8,-33.9,-17.2
-13.1,-13.1,-6.2
-7.7,-36.3,-12.3
-8.0,-20.6,-29.3
-17.3,-28.4,-9.6
-9.9,-22.0,-10.0
-12.1,-24.3,-8.5
-11.4,-20.0,-14.2
-22.5,-27.8,-9.6
-5.9,-26.0,-15.2
-24.9,-19.0,-17.5
-11.4,-28.9,-12.2
-12.2,-26.1,-13.5
-10.9,-18.5,-10.8
-8.5,-33.2,-11.1
-13.1,-25.1,-14.1
-14.9,-14.0,-10.7
-6.8,-29.5,-15.9
-11.8,-23.9,-18.1
-8.5,-22.4,-9.0
-17.4,-27.5,-13.2
-12.5,-25.7,-12.8
-9.3,-21.8,-9.4
-8.9,-26.0,-15.7
-5.1,-28.3,-12.6
-12.7,-28.9,-7.1
-6.4,-18.3,-8.3
-14.5,-18.7,-12.7
-10.3,-31.5,-9.7
-5.3,-21.7,-12.8
-24.8,-28.4,-6.1
-8.5,-31.0,-12.7
-16.1,-37.3,-12.8
-25.5,-16.3,-7.9
-5.2,-31.3,-17.5
-6.7,-19.1,-8.1
-13.2,-25.6,-10.8
-8.8,-24.9,-16.0
-13.8,-24.1,-15.2
-10.0,-27.4,-9.9
-11.5,-16.7,-11.9
-11.8,-14.2,-10.1
