greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
-28.9,-19.6,-19.9,-19.3
-17.1,-37.1,-40.7,-50.5
-39.6,-30.1,-13.8,-44.6
-41.7,-28.2,-14.7,-35.7
-34.2,-36.6,-23.1,-42.8
-38.7,-22.8,-34.9,-42.9
-26.9,-16.3,-21.5,-10.9
-29.6,-14.1,-11.0,-22.6
-23.8,-21.1,-20.4,-7.3
-22.8,-31.9,-18.0,-38.9
-18.2,-16.3,-17.7,-22.2
-10.1,-30.5,-15.9,-28.8
-11.3,-43.9,-26.1,-17.1
-14.8,-12.9,-16.4,-37.2
-27.0,-18.9,-12.8,-16.7
-12.8,-30.3,-9.6,-20.0
-26.0,-16.0,-24.2,-17.4
-18.8,-39.6,-19.4,-38.2
-12.8,-12.6,-23.3,-48.6
-13.0,-44.8,-12.6,-19.1
-16.3,-18.2,-24.9,-17.7
-11.2,-11.8,-13.8,-38.4
-16.6,-18.9,-14.3,-21.2
-17.5,-20.7,-26.7,-17.9
-3.7,-9.9,-2.6,-34.5
-21.9,-32.1,-11.2,-36.8
-12.1,-18.2,-1.4,-20.0
-4.3,-39.3,-2.8,-27.8
-24.2,-33.9,-5.2,-28.4
-8.2,-36.9,-3.1,-41.1
-19.0,-17.2,-0.7,-26.1
-12.1,-38.0,-19.7,-27.1
-9.4,-8.9,-30.3,-15.3
-10.1,-26.4,-1.9,-23.8
-7.4,-15.0,-1.1,-24.3
-7.6,-18.7,-6.1,-20.7
-14.0,-15.8,-10.7,-17.7
-3.2,-23.5,-1.2,-19.0
-26.3,-18.0,1.2,-26.9
0.7,-19.5,-18.4,-20.7
-6.3,-18.4,1.0,-8.8
-5.5,-30.5,-9.3,-10.7
-3.4,-36.9,0.0,-10.8
-16.0,-16.8,-0.1,-9.6
-1.1,-40.2,-1.4,-22.1
-22.0,-9.7,2.3,-21.1
-7.5,-24.7,1.5,-7.8
-14.5,-10.4,0.6,-7.2
-5.3,-21.4,-3.0,-25.3
-0.1,-37.8,0.6,-21.1
-16.4,-6.3,-6.8,-16.7
1.6,-15.8,-22.4,-5.0
-8.1,-6.5,0.1,-5.1
-1.5,-17.0,-22.7,-18.9
-2.7,-14.2,-4.0,-14.2
-28.6,-15.1,-6.9,-8.9
-2.8,-12.0,-8.4,-11.1
-8.7,-8.4,-6.8,-19.7
-0.6,-7.2,-1.1,-33.2
-3.8,-17.4,-17.8,-21.6
-16.0,-9.8,-8.4,-14.5
-1.0,-13.4,4.0,-14.3
-15.2,-29.1,0.6,-16.9
-13.2,-5.1,2.9,-3.1
-3.0,-14.4,-7.9,-18.8
-10.3,-4.5,1.3,-16.4
-17.4,-15.7,-0.3,-17.7
-31.1,-9.1,2.1,-19.4
-2.3,-8.5,1.5,-18.7
-11.0,-9.8,-6.7,-9.0
1.6,-18.4,-5.9,-15.6
1.3,-18.6,-11.4,-24.3
0.7,-15.9,4.3,-14.9
1.8,-3.3,5.7,-17.9
-3.8,-5.3,3.1,-5.1
-10.0,-8.0,-16.4,-31.4
-1.4,-4.9,-8.4,-16.1
-4.3,-18.4,3.0,-20.2
-3.2,-13.1,-6.8,-5.6
