"(1, 10000, 'constant-epsilon', 0.1, 1)","(1, 10000, 'greedy', 0, 5)","(0.5, 10000, 'epsilon_greedy', 0.1, 50)","(0.25, 10000, 'constant-epsilon', 0.1, 5)","(0.25, 10000, 'boltzmann_exploration', 1.5, 5)"
-9.6,5.2,-0.8,3.2,3.5
-9.6,5.2,3.2,4.6,5.2
-10.0,5.2,-19.6,3.3,5.2
-10.1,5.2,1.6,3.4,3.9
-17.9,5.2,-8.2,3.7,4.8
-21.1,5.2,2.0,4.4,4.0
-10.2,5.2,4.1,4.6,4.0
-9.6,5.2,-6.4,3.5,5.3
-10.2,5.2,2.5,4.7,3.4
-11.7,5.2,1.0,3.5,4.9
-16.2,5.2,2.1,2.8,4.6
-17.9,5.2,-8.2,4.1,4.4
-8.6,5.2,-7.3,2.1,3.6
-9.2,5.2,2.5,3.6,5.2
-9.6,5.2,0.4,3.7,3.2
-16.0,5.2,-0.8,3.5,5.3
-22.5,5.2,1.8,4.3,4.1
-13.4,5.2,3.0,4.2,3.1
-10.4,5.2,2.6,3.1,4.6
-9.3,5.2,1.9,2.7,4.5
-7.0,5.2,1.1,4.1,4.1
-10.5,5.2,2.8,3.3,1.9
-8.7,5.2,1.4,-5.5,3.9
-8.9,5.2,-0.2,2.6,4.7
-9.7,5.2,2.5,4.1,3.5
-10.8,5.2,2.6,3.9,5.1
-8.4,5.2,0.8,4.2,4.3
-10.0,5.2,-7.0,3.2,4.1
-16.2,5.2,3.1,3.7,4.9
-8.7,5.2,-7.1,3.8,3.5
-10.7,5.2,0.3,2.8,4.7
-6.8,5.2,0.7,2.8,4.4
-10.8,5.2,3.4,1.9,4.4
-7.1,5.2,2.6,4.3,5.3
-9.9,5.2,3.1,2.7,5.1
-8.9,5.2,4.9,3.8,3.5
-7.8,5.2,3.1,4.5,3.6
-11.2,5.2,3.2,0.8,4.4
-10.1,5.2,2.3,1.9,4.5
-7.6,5.2,2.1,5.3,4.2
-28.0,5.2,1.6,3.2,4.0
-7.9,5.2,-7.9,2.1,4.0
-9.7,5.2,0.4,3.9,3.8
-10.4,5.2,2.8,3.7,4.3
-13.5,5.2,1.5,-7.1,3.5
-8.3,5.2,2.5,3.1,3.2
-20.2,5.2,2.0,4.4,5.3
-17.9,5.2,2.7,4.0,4.3
-17.8,5.2,3.2,4.7,4.2
-9.9,5.2,1.7,4.1,3.4
-9.8,5.2,-7.0,4.3,3.4
-9.5,5.2,2.6,2.3,3.8
-12.5,5.2,3.2,3.9,2.3
-6.8,5.2,3.5,3.4,3.2
-12.4,5.2,1.9,4.1,5.1
-10.1,5.2,2.5,4.2,4.5
-19.4,5.2,-7.9,3.6,2.9
-9.4,5.2,3.0,3.8,4.3
-9.8,5.2,2.5,2.7,3.1
-20.7,5.2,2.6,2.0,3.5
-9.7,5.2,-8.5,3.0,4.3
-9.5,5.2,0.4,3.4,2.9
-18.1,5.2,2.4,2.7,4.4
-19.1,5.2,2.4,4.2,4.6
-15.4,5.2,2.9,4.8,3.7
-29.2,5.2,3.5,3.7,3.6
-9.7,5.2,2.1,4.2,1.9
-11.7,5.2,2.7,3.4,4.8
-8.0,5.2,2.6,3.5,4.6
-8.8,5.2,2.2,3.1,4.7
-10.6,5.2,1.7,4.0,3.3
-9.7,5.2,2.6,3.0,3.9
-13.1,5.2,2.9,0.4,4.4
-9.6,5.2,2.6,4.5,4.2
-6.8,5.2,-6.9,4.6,3.4
-18.9,5.2,3.0,3.0,2.9
-16.1,5.2,-0.6,-7.6,4.4
-8.5,5.2,1.8,3.2,5.0
-8.0,5.2,2.5,5.0,4.1
-10.5,5.2,1.5,4.1,4.4
-8.5,5.2,1.8,4.4,4.6
-9.7,5.2,2.1,2.0,4.3
-9.1,5.2,2.3,3.1,4.2
-9.0,5.2,2.7,1.4,3.8
-9.8,5.2,3.1,3.8,3.9
-7.7,5.2,1.6,3.3,2.2
-10.5,5.2,1.3,3.1,3.3
-9.9,5.2,2.9,4.1,4.4
-19.4,5.2,0.8,3.4,2.8
-10.9,5.2,2.3,3.4,3.0
-19.1,5.2,2.1,5.0,4.3
-11.8,5.2,2.8,3.1,3.1
-10.6,5.2,2.3,2.7,4.7
-9.5,5.2,2.5,4.3,3.4
-18.6,5.2,1.9,2.0,5.2
-10.7,5.2,2.0,4.0,2.3
-10.3,5.2,-8.3,4.5,3.3
-6.6,5.2,3.0,3.2,3.2
-19.7,5.2,-0.7,3.5,3.1
-9.6,5.2,-7.8,4.6,3.6
-8.3,5.2,2.3,4.0,4.0
-8.0,5.2,2.4,4.4,4.7
-9.7,5.2,1.2,2.5,5.5
-19.2,5.2,2.7,1.2,4.5
-9.2,5.2,2.7,3.9,3.7
-9.3,5.2,2.6,2.0,4.0
-10.4,5.2,2.2,3.8,4.0
-8.8,5.2,0.5,2.6,5.1
-19.2,5.2,3.1,3.3,5.3
-10.3,5.2,-9.5,2.9,5.0
-12.6,5.2,-7.7,3.8,4.0
-11.5,5.2,2.6,3.8,4.6
-12.9,5.2,1.9,3.8,2.3
-10.2,5.2,-8.6,3.5,2.3
-14.9,5.2,2.7,4.4,4.1
-8.0,5.2,1.6,4.4,4.2
-10.7,5.2,2.5,3.5,4.3
-19.4,5.2,0.5,3.0,3.5
-8.0,5.2,0.4,3.4,4.2
-15.6,5.2,0.5,3.8,3.9
-9.2,5.2,1.7,4.0,4.2
-10.2,5.2,0.9,3.9,5.0
-17.2,5.2,-3.1,3.4,5.0
-19.1,5.2,0.1,3.4,3.0
-9.0,5.2,0.8,3.9,3.9
-9.8,5.2,2.0,3.8,2.5
-9.8,5.2,1.7,4.2,4.0
-8.0,5.2,-8.0,3.7,3.7
-9.7,5.2,1.6,4.1,3.1
-8.1,5.2,1.9,2.9,4.6
-14.1,5.2,2.5,3.7,5.5
-8.2,5.2,-11.4,3.8,4.5
-8.4,5.2,2.3,3.7,4.5
-9.0,5.2,2.1,3.0,4.0
-9.1,5.2,2.2,4.1,4.8
-7.9,5.2,2.4,4.0,4.4
-6.8,5.2,2.4,2.6,5.2
-7.2,5.2,1.9,2.9,3.8
-10.3,5.2,2.0,3.6,3.6
-8.2,5.2,2.7,4.4,5.1
-8.3,5.2,1.5,3.6,4.2
-9.0,5.2,-9.0,4.1,5.3
-8.3,5.2,-8.2,4.0,4.9
-8.5,5.2,0.2,2.9,3.8
-7.5,5.2,0.8,2.5,1.8
-8.7,5.2,2.4,4.6,2.9
-9.6,5.2,2.0,0.7,3.6
-7.8,5.2,1.9,3.5,3.9
-5.1,5.2,2.4,4.0,4.1
-6.3,5.2,1.7,4.0,4.1
-14.1,5.2,2.4,3.4,3.9
-6.9,5.2,2.4,3.8,5.1
-6.9,5.2,2.2,4.9,4.2
-25.3,5.2,2.8,3.2,4.2
-7.0,5.2,2.2,3.7,3.6
-8.0,5.2,2.8,2.2,4.5
-7.3,5.2,-7.9,3.5,4.4
-6.9,5.2,2.9,3.0,3.6
-7.0,5.2,2.7,3.8,5.3
-5.6,5.2,2.9,2.4,4.0
-4.8,5.2,1.4,3.8,3.4
-6.8,5.2,2.3,4.5,4.7
-7.1,5.2,-0.1,4.6,3.7
-7.0,5.2,2.5,3.9,4.7
-5.1,5.2,3.1,2.3,3.8
-8.6,5.2,4.1,3.4,4.3
-6.1,5.2,2.3,3.8,4.7
-15.6,5.2,1.8,4.0,3.9
-8.0,5.2,1.7,4.0,3.8
-16.5,5.2,0.7,3.6,3.4
-7.6,5.2,-0.3,3.6,3.8
-3.1,5.2,0.4,3.1,5.1
-5.0,5.2,2.9,2.7,3.4
-17.4,5.2,2.6,3.9,3.5
-5.4,5.2,2.4,3.3,3.5
-3.1,5.2,2.6,4.2,4.2
-5.6,5.2,2.5,4.5,4.9
-5.5,5.2,1.6,3.4,4.1
-12.2,5.2,1.4,3.1,2.1
-15.2,5.2,1.5,1.5,2.4
-4.9,5.2,2.6,3.9,3.6
-8.6,5.2,2.0,4.1,4.0
-5.1,5.2,1.2,3.7,4.4
-7.2,5.2,-8.8,3.6,3.8
-3.7,5.2,2.0,3.8,3.7
-2.8,5.2,2.2,3.6,1.1
-8.2,5.2,3.8,1.9,3.2
-5.3,5.2,3.1,4.9,5.6
-5.5,5.2,2.8,3.2,4.9
-5.4,5.2,0.7,3.9,3.5
-6.4,5.2,-8.4,3.5,5.1
-5.8,5.2,2.4,3.6,4.3
-5.8,5.2,1.8,4.6,4.9
-5.8,5.2,2.9,4.5,3.3
-3.5,5.2,0.5,3.8,4.2
-1.7,5.2,1.5,4.3,5.2
-2.7,5.2,2.2,3.4,4.8
-2.1,5.2,1.8,3.3,3.9
-9.6,5.2,1.8,1.9,4.0
-6.5,5.2,1.2,3.8,5.2
-4.4,5.2,1.7,3.0,2.0
-3.8,5.2,2.7,4.7,4.5
-21.4,5.2,2.7,4.0,4.7
-4.6,5.2,-6.8,3.0,4.8
-3.6,5.2,2.9,3.7,2.2
-5.4,5.2,3.8,3.5,2.9
-3.3,5.2,4.2,3.4,3.8
-4.4,5.2,2.8,2.5,4.6
-3.5,5.2,3.0,3.7,5.3
-3.2,5.2,3.6,1.9,3.8
-5.8,5.2,3.7,1.4,3.3
-7.1,5.2,5.1,-6.4,2.8
-13.8,5.2,3.4,3.0,4.7
-14.0,5.2,2.9,4.4,4.9
-7.0,5.2,3.6,4.5,3.7
-3.3,5.2,2.8,3.2,4.7
-14.3,5.2,4.5,4.2,4.3
-3.8,5.2,-0.2,6.5,4.5
-3.5,5.2,4.2,2.8,3.6
-6.1,5.2,4.0,2.3,4.1
-3.0,5.2,4.9,2.8,3.8
-3.6,5.2,4.4,3.9,3.3
-3.2,5.2,4.1,4.1,2.9
-6.2,5.2,3.4,3.3,5.1
-2.1,5.2,4.1,3.3,2.5
-6.9,5.2,5.3,4.2,4.4
-7.1,5.2,3.4,3.4,5.4
-13.9,5.2,4.2,1.5,5.0
-5.7,5.2,3.6,4.7,4.3
-3.6,5.2,3.0,3.0,3.7
-8.1,5.2,3.6,3.2,4.0
-4.6,5.2,4.6,4.0,4.4
-2.6,5.2,3.4,4.3,5.0
