,0
1805,-28
1806,-29
1807,-27
1808,-28
1809,-32
1810,-27
1811,-32
1812,-30
1813,-29
1814,-32
1815,-28
1816,-31
1817,-28
1818,-29
1819,-36
1820,-33
1821,-29
1822,-36
1823,-32
1824,-29
1825,-29
1826,-31
1827,-30
1828,-29
1829,-37
1830,-28
1831,-34
1832,-35
1833,-31
1834,-33
1835,-32
1836,-33
1837,-29
1838,-32
1839,-27
1840,-33
1841,-34
1842,-31
1843,-32
1844,-27
1845,-40
1846,-29
1847,-31
1848,-33
1849,-30
1850,-30
1851,-32
1852,-40
1853,-32
1854,-29
1855,-32
1856,-35
1857,-29
1858,-33
1859,-29
1860,-31
1861,-31
1862,-27
1863,-30
1864,-29
1865,-32
1866,-31
1867,-29
1868,-27
1869,-36
1870,-32
1871,-32
1872,-27
1873,-28
1874,-28
1875,-31
1876,-30
1877,-29
1878,-30
1879,-31
1880,-35
1881,-32
1882,-31
1883,-29
1884,-33
1885,-32
1886,-29
1887,-29
1888,-29
1889,-31
1890,-38
1891,-28
1892,-29
1893,-30
1894,-27
1895,-29
1896,-34
1897,-32
1898,-27
1899,-34
1900,-28
1901,-27
1902,-29
1903,-30
1904,-27
1905,-34
1906,-31
1907,-28
1908,-30
1909,-32
1910,-31
1911,-34
1912,-39
1913,-31
1914,-28
1915,-27
1916,-33
1917,-31
1918,-31
1919,-29
1920,-29
1921,-29
1922,-32
1923,-30
1924,-28
1925,-31
1926,-31
1927,-33
1928,-33
1929,-33
1930,-29
1931,-27
1932,-27
1933,-34
1934,-31
1935,-27
1936,-33
1937,-29
1938,-30
1939,-29
1940,-28
1941,-35
1942,-28
1943,-28
1944,-27
1945,-32
1946,-27
1947,-27
1948,-32
1949,-33
1950,-29
1951,-32
1952,-27
1953,-33
1954,-27
1955,-29
1956,-32
1957,-31
1958,-29
1959,-33
1960,-31
1961,-29
1962,-31
1963,-29
1964,-32
1965,-29
1966,-33
1967,-30
1968,-30
1969,-30
1970,-28
1971,-27
1972,-28
1973,-30
1974,-30
1975,-32
1976,-33
1977,-29
1978,-27
1979,-32
1980,-33
1981,-29
1982,-33
1983,-27
1984,-31
1985,-28
1986,-27
1987,-30
1988,-32
1989,-35
1990,-33
1991,-33
1992,-31
1993,-30
1994,-32
1995,-30
