"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
29.72,61.0,36.08
29.76,50.4,32.4
33.12,57.64,38.04
28.0,63.16,36.84
30.72,56.12,40.2
31.6,55.28,35.28
30.68,53.12,38.96
27.24,49.56,35.92
28.36,63.28,36.04
31.6,56.68,39.96
30.44,52.4,35.76
30.12,51.28,36.8
30.52,66.24,38.56
33.32,51.68,36.0
31.44,53.6,36.16
27.28,61.16,39.92
30.44,54.0,40.04
28.52,65.24,35.6
29.64,67.08,35.68
28.76,57.64,34.08
29.4,56.32,39.48
29.96,56.56,33.92
30.6,55.8,38.6
37.0,57.16,37.92
38.2,60.16,37.88
34.4,53.24,39.12
29.2,64.36,34.92
28.96,58.64,40.12
37.36,53.0,34.64
30.96,54.28,35.48
29.44,54.96,37.08
33.68,65.8,36.08
27.44,66.32,36.12
33.16,61.04,37.96
27.2,60.64,38.84
29.56,56.08,36.4
37.76,56.2,36.0
30.32,58.52,38.04
29.84,56.28,36.12
27.52,51.4,40.0
25.36,54.6,36.4
31.72,60.84,37.4
28.8,66.24,40.44
33.04,60.92,41.4
28.32,55.16,32.36
31.32,62.04,36.16
27.96,64.84,37.84
31.2,55.52,35.96
32.0,57.4,37.96
27.16,56.6,36.08
27.2,48.84,34.2
30.6,56.36,37.76
31.76,56.24,36.88
27.28,52.56,34.08
31.04,50.08,36.76
32.68,57.12,40.8
29.52,63.0,35.08
32.68,56.72,37.56
30.0,65.2,39.96
31.96,56.08,36.8
27.08,56.2,37.44
28.44,50.72,35.16
30.08,61.92,43.2
29.12,51.68,34.88
34.72,53.48,35.0
30.56,55.96,34.0
31.04,57.04,40.64
30.96,65.92,33.52
33.4,61.72,35.92
32.56,61.48,33.32
30.84,57.64,36.12
31.84,54.16,38.44
34.6,58.28,41.88
30.32,55.84,45.24
29.36,49.32,34.84
28.64,61.88,36.72
28.76,64.6,35.04
31.52,57.24,33.92
29.04,59.6,37.0
28.96,56.0,33.4
30.04,64.96,40.16
30.52,61.16,35.48
31.72,57.8,37.12
27.84,63.56,38.72
29.28,61.32,33.2
34.84,57.68,36.92
30.32,63.2,34.48
29.32,71.44,39.12
31.44,59.88,36.92
29.92,59.88,32.84
31.04,62.4,37.96
32.08,58.28,37.12
26.0,63.0,39.92
31.64,63.44,37.72
30.4,74.28,34.8
33.24,64.48,38.52
29.88,55.88,33.68
28.08,60.44,37.64
32.56,55.0,32.68
31.96,62.4,35.48
27.32,64.6,39.12
32.08,55.48,38.52
29.12,51.24,40.16
33.72,56.96,38.2
28.36,53.24,35.08
31.28,56.28,37.28
30.84,54.16,36.92
30.28,60.68,32.64
28.28,57.44,34.88
31.32,61.16,41.88
32.92,59.16,34.88
33.32,59.52,34.56
32.84,54.52,41.44
35.8,55.56,38.52
31.8,53.72,33.8
31.2,55.16,33.6
29.16,57.92,39.12
33.4,61.84,33.8
31.04,66.52,38.28
32.16,61.96,36.56
35.96,58.08,33.88
31.32,61.32,35.24
29.2,54.48,37.24
27.2,57.88,34.84
26.48,59.32,37.28
34.28,64.8,37.4
27.48,61.72,36.0
30.76,66.08,35.68
31.0,62.92,36.36
28.52,60.0,33.72
30.96,58.16,35.2
30.64,55.04,41.84
32.32,53.16,44.32
30.4,60.72,37.6
30.48,58.28,35.0
30.36,61.4,35.44
33.52,58.04,35.08
33.72,71.68,36.76
30.84,60.24,36.72
29.0,60.92,33.48
28.4,56.68,34.48
28.32,62.32,35.52
27.24,65.48,40.44
30.88,69.8,34.28
30.36,58.12,39.68
36.4,58.68,38.36
31.0,61.72,36.28
29.32,63.88,34.92
32.12,68.96,32.48
29.32,61.08,36.12
34.96,62.96,35.92
33.68,50.0,38.2
26.0,65.24,38.84
29.84,54.44,34.88
29.28,58.96,37.4
27.76,50.76,34.0
33.16,63.36,37.68
30.28,58.0,35.0
