22.24,28.16,22.8,33.28,19.92,46.16
20.56,28.64,28.8,42.08,23.76,43.12
26.8,24.8,32.64,44.4,20.56,37.76
19.12,35.04,30.8,40.4,26.8,44.16
26.56,31.28,30.72,29.28,24.88,41.84
23.12,32.88,28.72,33.68,22.96,38.88
45.2,21.92,31.04,36.0,23.2,32.48
22.24,26.8,26.8,34.08,34.64,59.92
28.16,26.88,27.52,28.48,21.44,56.16
19.76,38.8,24.96,46.16,33.2,39.44
24.4,25.68,25.28,27.36,20.24,34.48
23.04,26.72,24.64,30.96,31.52,56.08
26.16,43.52,33.28,34.0,21.2,38.4
25.04,24.8,24.56,25.44,24.4,39.92
18.96,29.12,24.4,32.8,28.4,50.4
21.12,29.52,28.08,35.12,20.88,38.08
27.6,27.28,27.2,37.44,36.72,48.0
28.96,24.4,28.48,27.28,23.92,39.76
25.36,34.08,24.08,29.76,25.52,44.08
18.96,45.04,24.08,35.28,23.12,24.16
31.68,35.44,24.8,50.8,24.48,41.36
20.24,32.64,32.56,26.08,30.96,46.4
23.6,20.96,26.24,37.36,20.56,36.88
22.8,21.6,25.44,30.64,35.12,39.36
20.16,30.08,34.24,36.96,22.16,48.4
31.12,21.36,26.72,30.08,26.4,32.8
28.4,21.04,25.2,37.92,23.92,28.16
22.8,25.28,33.52,32.64,30.8,48.4
22.08,23.04,27.12,29.36,23.44,44.16
29.84,25.36,28.08,27.44,28.32,43.36
21.2,25.84,30.0,23.68,23.44,51.28
20.4,35.04,26.16,29.28,21.28,43.28
26.56,31.52,30.24,35.28,32.72,51.76
30.88,22.88,32.4,26.88,21.76,27.92
25.52,24.16,26.4,39.04,29.44,43.12
24.08,27.76,27.84,31.12,20.64,37.04
29.28,37.68,29.28,39.68,24.16,49.2
24.32,26.8,30.96,35.84,28.16,47.84
24.08,21.12,27.52,33.76,25.76,30.72
24.08,39.04,39.36,23.76,23.2,39.2
31.44,22.4,39.04,37.12,24.96,44.0
24.16,30.48,24.32,38.64,32.96,39.28
26.56,30.4,23.68,38.8,24.8,41.76
27.36,21.92,23.92,32.96,22.16,55.52
24.4,28.64,25.92,26.4,20.08,48.08
37.6,24.64,30.16,42.24,27.76,28.64
38.16,27.84,24.96,33.36,29.84,39.52
30.48,29.68,29.12,23.68,37.04,34.32
26.8,24.72,32.96,41.44,31.92,49.04
22.48,30.0,25.52,43.6,31.68,41.84
