"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
19.2,66.4,19.2
32.4,51.2,32.4
39.6,53.2,39.6
32.0,24.8,32.0
39.2,53.2,39.2
22.0,51.2,22.0
35.2,30.4,35.2
36.4,44.4,36.4
20.0,32.4,20.0
33.2,39.2,33.2
24.8,27.6,24.8
19.2,43.6,19.2
21.6,41.2,21.6
19.6,35.6,19.6
37.2,40.8,37.2
21.2,41.2,21.2
32.4,41.6,32.4
23.2,52.0,23.2
38.4,58.8,38.4
48.8,44.4,48.8
24.0,44.0,24.0
30.0,53.2,30.0
19.6,45.6,19.6
23.2,50.0,23.2
21.2,52.8,21.2
17.6,59.6,17.6
47.2,34.4,47.2
28.4,67.2,28.4
19.2,36.0,19.2
24.4,47.2,24.4
21.6,36.0,21.6
24.0,38.8,24.0
24.8,33.6,24.8
26.4,52.4,26.4
40.8,40.4,40.8
22.0,43.2,22.0
40.0,35.2,40.0
18.8,29.2,18.8
28.4,49.2,28.4
35.2,30.0,35.2
18.8,50.8,18.8
32.8,78.4,32.8
25.6,38.0,25.6
22.4,45.6,22.4
24.0,56.4,24.0
25.2,62.0,25.2
19.6,36.0,19.6
20.0,32.0,20.0
24.8,55.2,24.8
30.0,47.6,30.0
21.2,76.8,21.2
22.0,36.4,22.0
42.8,42.4,42.8
19.2,55.6,19.2
39.2,46.0,39.2
36.0,73.6,36.0
28.4,50.4,28.4
21.6,39.2,21.6
50.8,46.4,50.8
23.6,48.0,23.6
19.2,40.4,19.2
28.8,75.2,28.8
42.8,46.8,42.8
20.8,32.0,20.8
40.4,25.2,40.4
19.6,56.4,19.6
25.6,53.2,25.6
27.2,57.6,27.2
22.4,38.4,22.4
36.0,61.2,36.0
24.0,44.0,24.0
40.8,35.6,40.8
33.2,37.6,33.2
23.2,45.6,23.2
18.8,42.0,18.8
25.6,62.4,25.6
24.8,42.4,24.8
30.0,61.2,30.0
20.4,55.6,20.4
30.0,52.8,30.0
22.0,46.0,22.0
22.0,34.4,22.0
35.6,64.4,35.6
22.4,55.6,22.4
18.4,34.0,18.4
21.2,55.6,21.2
26.8,34.4,26.8
22.0,32.8,22.0
20.8,40.4,20.8
24.0,32.0,24.0
44.4,29.2,44.4
33.6,48.0,33.6
25.6,50.8,25.6
19.2,69.2,19.2
19.2,52.4,19.2
49.2,34.0,49.2
34.4,51.6,34.4
63.6,61.2,63.6
26.8,43.2,26.8
31.2,27.2,31.2
23.6,34.8,23.6
20.4,48.8,20.4
18.0,54.8,18.0
25.2,34.0,25.2
32.8,46.4,32.8
44.4,47.6,44.4
22.0,34.4,22.0
20.0,51.2,20.0
34.4,49.6,34.4
22.0,24.0,22.0
21.2,34.0,21.2
20.8,52.0,20.8
26.8,50.0,26.8
20.4,78.4,20.4
21.2,39.2,21.2
41.2,30.0,41.2
36.0,44.8,36.0
17.6,47.6,17.6
34.8,51.6,34.8
30.8,47.6,30.8
29.2,42.4,29.2
42.8,44.8,42.8
35.2,41.2,35.2
21.6,79.2,21.6
28.8,40.8,28.8
25.2,40.4,25.2
20.4,36.0,20.4
21.6,28.0,21.6
32.0,34.4,32.0
20.4,69.2,20.4
25.6,55.2,25.6
31.6,57.2,31.6
22.4,54.4,22.4
20.0,27.6,20.0
35.2,63.2,35.2
31.6,60.8,31.6
39.6,51.2,39.6
24.4,57.2,24.4
28.8,42.4,28.8
17.6,60.0,17.6
18.0,44.8,18.0
28.8,38.0,28.8
20.0,33.2,20.0
18.8,42.4,18.8
20.4,41.2,20.4
24.0,47.6,24.0
29.6,42.4,29.6
21.6,43.6,21.6
18.0,66.8,18.0
21.2,48.4,21.2
18.4,48.0,18.4
22.8,77.6,22.8
20.0,40.8,20.0
23.2,49.2,23.2
26.4,49.2,26.4
27.2,35.6,27.2
21.6,33.6,21.6
24.8,55.6,24.8
31.2,46.0,31.2
21.6,46.8,21.6
22.0,44.0,22.0
25.6,42.4,25.6
22.4,69.2,22.4
51.2,42.8,51.2
26.8,29.2,26.8
19.6,51.6,19.6
27.6,43.6,27.6
19.6,45.6,19.6
36.4,59.2,36.4
24.8,40.4,24.8
28.8,40.8,28.8
22.0,42.0,22.0
21.6,61.2,21.6
16.8,36.4,16.8
20.4,44.0,20.4
20.8,48.4,20.8
22.4,59.2,22.4
48.4,31.6,48.4
18.8,46.0,18.8
22.0,46.8,22.0
20.0,40.4,20.0
31.2,36.8,31.2
20.8,60.8,20.8
29.2,46.4,29.2
19.2,52.0,19.2
27.2,36.8,27.2
20.8,49.2,20.8
54.0,28.0,54.0
20.0,54.4,20.0
32.4,50.4,32.4
24.0,30.0,24.0
39.6,66.4,39.6
20.4,41.6,20.4
20.0,55.6,20.0
22.4,34.8,22.4
23.2,36.8,23.2
38.0,46.0,38.0
24.4,57.2,24.4
24.8,41.6,24.8
20.0,25.6,20.0
20.8,39.2,20.8
28.8,38.8,28.8
25.2,57.2,25.2
38.8,43.2,38.8
24.8,41.6,24.8
28.0,76.4,28.0
20.4,60.8,20.4
18.8,72.4,18.8
30.0,42.4,30.0
34.4,45.2,34.4
28.0,61.2,28.0
20.4,57.6,20.4
17.6,72.0,17.6
18.4,37.2,18.4
33.6,50.4,33.6
20.4,56.0,20.4
32.0,28.8,32.0
34.8,41.6,34.8
18.0,40.8,18.0
19.2,42.0,19.2
33.2,41.2,33.2
24.8,57.2,24.8
35.2,36.4,35.2
22.4,35.6,22.4
21.2,33.6,21.2
21.6,43.2,21.6
22.4,61.2,22.4
27.6,54.0,27.6
46.4,58.8,46.4
26.0,42.8,26.0
19.6,46.4,19.6
24.0,45.2,24.0
31.2,45.6,31.2
22.0,39.2,22.0
34.8,44.0,34.8
44.8,50.4,44.8
18.8,66.8,18.8
22.0,57.6,22.0
37.6,74.8,37.6
20.0,49.2,20.0
28.4,52.0,28.4
22.8,51.6,22.8
53.6,37.2,53.6
44.8,40.8,44.8
29.2,46.0,29.2
28.4,44.4,28.4
27.2,62.4,27.2
29.2,80.4,29.2
20.4,41.6,20.4
31.6,35.2,31.6
52.4,51.6,52.4
20.8,54.4,20.8
18.0,61.2,18.0
37.2,39.2,37.2
16.8,54.0,16.8
22.8,53.6,22.8
23.6,28.4,23.6
17.2,36.4,17.2
27.2,42.8,27.2
30.4,40.0,30.4
23.2,41.6,23.2
21.6,42.8,21.6
29.2,27.2,29.2
19.6,35.6,19.6
24.0,50.0,24.0
29.2,47.6,29.2
30.4,43.6,30.4
26.4,39.2,26.4
30.0,57.2,30.0
20.8,54.4,20.8
29.2,47.2,29.2
36.0,58.4,36.0
28.0,80.8,28.0
23.6,52.4,23.6
25.2,50.8,25.2
23.6,60.4,23.6
20.0,58.8,20.0
29.2,34.4,29.2
27.2,56.0,27.2
22.0,33.6,22.0
18.0,39.6,18.0
18.0,59.6,18.0
19.6,56.8,19.6
23.2,50.0,23.2
40.8,44.8,40.8
24.4,54.4,24.4
18.8,34.0,18.8
29.2,27.6,29.2
38.0,39.6,38.0
21.6,30.8,21.6
20.8,44.8,20.8
18.4,39.6,18.4
20.8,64.4,20.8
19.6,64.8,19.6
30.0,38.0,30.0
29.2,54.8,29.2
19.6,65.2,19.6
38.8,38.4,38.8
24.4,52.8,24.4
19.6,34.8,19.6
17.6,47.2,17.6
27.2,68.0,27.2
23.6,45.2,23.6
22.4,70.4,22.4
24.8,38.4,24.8
41.6,70.0,41.6
22.0,43.6,22.0
21.6,22.8,21.6
49.2,52.0,49.2
19.2,47.2,19.2
38.4,36.4,38.4
38.0,22.0,38.0
37.2,40.8,37.2
22.0,40.4,22.0
28.8,34.0,28.8
17.2,64.4,17.2
33.6,29.2,33.6
19.6,37.6,19.6
29.2,36.8,29.2
34.8,48.4,34.8
17.2,46.4,17.2
25.2,61.6,25.2
36.0,51.2,36.0
20.8,49.2,20.8
36.8,52.4,36.8
24.8,40.4,24.8
33.2,47.2,33.2
18.0,35.6,18.0
20.8,65.6,20.8
22.4,54.8,22.4
22.8,42.4,22.8
27.2,27.2,27.2
18.0,55.6,18.0
23.2,42.8,23.2
38.8,37.2,38.8
47.2,30.8,47.2
20.8,40.8,20.8
38.8,75.2,38.8
19.6,34.4,19.6
32.0,59.2,32.0
19.2,62.0,19.2
26.8,63.6,26.8
24.0,78.0,24.0
19.2,42.8,19.2
17.2,39.6,17.2
20.4,31.2,20.4
35.2,39.6,35.2
36.4,53.2,36.4
22.0,60.8,22.0
24.4,39.6,24.4
68.0,36.0,68.0
21.6,38.8,21.6
22.8,50.8,22.8
20.4,44.4,20.4
24.8,61.6,24.8
23.6,48.0,23.6
17.6,40.0,17.6
27.6,38.0,27.6
36.0,54.4,36.0
54.8,33.2,54.8
24.0,40.0,24.0
18.0,49.2,18.0
19.6,50.8,19.6
20.8,38.0,20.8
24.4,44.0,24.4
19.6,33.2,19.6
16.4,32.4,16.4
26.0,51.2,26.0
20.0,44.4,20.0
20.0,32.0,20.0
28.8,44.0,28.8
26.4,42.8,26.4
30.0,54.4,30.0
24.8,34.4,24.8
19.2,42.0,19.2
22.0,47.2,22.0
23.2,59.6,23.2
20.4,75.6,20.4
41.2,66.4,41.2
38.4,52.0,38.4
18.0,38.4,18.0
44.8,27.2,44.8
33.2,52.8,33.2
25.6,51.2,25.6
18.8,35.2,18.8
36.8,59.6,36.8
20.8,43.6,20.8
34.0,38.0,34.0
17.6,31.6,17.6
46.0,54.4,46.0
18.0,52.0,18.0
26.8,46.0,26.8
24.4,55.6,24.4
23.6,41.6,23.6
18.8,71.6,18.8
25.6,56.4,25.6
25.6,46.4,25.6
22.8,67.6,22.8
42.4,34.8,42.4
26.8,42.4,26.8
25.6,80.8,25.6
20.4,54.8,20.4
44.8,55.2,44.8
20.0,43.6,20.0
44.0,44.4,44.0
18.4,57.2,18.4
22.4,42.0,22.4
32.4,30.8,32.4
21.6,58.8,21.6
27.2,55.6,27.2
30.0,47.2,30.0
24.4,41.6,24.4
30.0,44.0,30.0
52.0,33.6,52.0
26.8,53.6,26.8
30.8,59.2,30.8
20.4,63.2,20.4
20.4,43.6,20.4
19.6,36.8,19.6
21.2,41.2,21.2
28.4,60.0,28.4
32.4,74.8,32.4
25.2,76.8,25.2
18.0,62.8,18.0
22.4,59.6,22.4
21.6,24.4,21.6
20.8,56.8,20.8
18.4,66.8,18.4
29.2,39.6,29.2
24.4,42.4,24.4
26.8,59.2,26.8
21.2,30.4,21.2
28.0,55.6,28.0
29.2,32.4,29.2
20.0,64.4,20.0
31.2,52.4,31.2
20.8,55.2,20.8
60.4,71.6,60.4
19.2,39.6,19.2
17.6,68.8,17.6
18.0,39.6,18.0
20.4,44.0,20.4
20.8,54.4,20.8
27.2,31.6,27.2
49.2,64.8,49.2
19.6,45.2,19.6
18.8,38.4,18.8
26.8,53.6,26.8
18.8,33.6,18.8
22.4,72.4,22.4
20.8,44.0,20.8
26.8,48.8,26.8
21.6,40.8,21.6
20.8,53.2,20.8
22.4,40.8,22.4
23.6,34.8,23.6
17.6,54.4,17.6
25.6,26.8,25.6
40.0,69.6,40.0
21.2,36.4,21.2
24.0,38.4,24.0
21.2,30.8,21.2
31.6,32.0,31.6
19.6,45.2,19.6
21.2,36.0,21.2
32.4,52.0,32.4
