"(0.5, 1000, 'constant-epsilon', 0.1, 1)","(0.75, 1000, 'greedy', 0, 20)","(1, 1000, 'epsilon_greedy', 0.1, 5)","(0.75, 1000, 'constant-epsilon', 0.1, 5)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
36.36,65.12,47.48,41.48,48.72
36.04,68.2,41.16,44.36,47.64
35.4,58.8,44.52,38.12,50.44
37.24,52.48,39.96,43.12,45.24
35.48,59.84,44.24,41.28,50.12
34.68,72.36,45.76,50.36,61.32
35.6,65.68,42.52,41.48,54.16
35.52,68.16,50.28,46.52,56.36
33.84,67.64,44.68,42.64,48.68
34.96,67.12,52.0,45.44,54.8
33.52,68.0,41.92,52.48,53.72
29.32,64.12,38.28,40.24,49.44
36.56,60.84,44.2,48.08,47.8
37.96,64.12,42.68,50.0,57.48
37.52,70.68,51.28,51.32,57.72
40.32,67.24,50.76,52.12,55.28
36.16,68.0,50.04,47.52,48.76
35.16,62.48,42.56,41.32,51.16
36.0,67.08,41.8,41.16,58.68
38.72,62.52,36.08,47.0,48.76
37.96,60.28,42.88,39.04,49.16
33.12,59.2,47.44,41.32,47.08
36.96,57.2,44.56,38.2,46.28
41.92,66.44,50.6,47.24,57.04
36.52,60.36,39.96,42.72,51.12
33.28,65.8,45.32,45.88,49.12
41.0,74.36,46.0,50.6,63.64
38.52,57.36,39.72,37.32,45.32
35.2,60.24,45.64,40.56,53.72
35.84,56.56,47.88,46.96,43.8
39.64,64.76,49.68,48.72,50.56
35.6,57.28,47.36,41.88,48.16
39.4,59.16,45.4,46.64,49.68
39.0,60.04,46.96,42.64,46.68
37.24,64.96,47.12,50.16,51.52
37.16,61.32,46.68,46.6,43.96
40.24,70.28,52.04,52.32,55.64
38.96,61.48,45.6,46.76,41.64
37.84,71.04,52.04,47.84,55.32
38.12,66.0,45.28,43.32,47.68
34.68,67.52,54.6,47.92,57.72
39.84,67.6,49.12,41.52,50.4
36.24,63.68,42.6,43.44,49.56
37.6,66.88,52.16,45.72,55.92
37.16,76.48,50.96,48.6,54.64
39.04,63.04,46.44,47.24,53.92
36.32,68.12,51.12,53.96,57.96
38.44,65.44,53.88,49.2,53.2
33.56,62.88,47.92,46.04,52.08
40.12,65.52,48.64,46.36,50.24
34.6,65.0,48.56,45.68,45.72
36.08,56.64,43.56,38.32,37.6
35.64,63.04,47.36,47.6,49.92
33.72,58.4,43.12,45.56,44.56
35.12,62.96,45.28,39.84,46.08
34.32,63.2,52.48,43.32,46.12
36.2,58.76,45.16,49.44,40.24
35.32,60.44,45.0,46.4,48.48
38.84,66.4,50.48,46.52,48.32
33.48,57.4,40.16,45.8,46.16
37.16,66.48,41.76,45.04,51.08
34.92,62.68,47.6,46.56,51.12
33.52,68.28,48.76,40.48,53.72
40.16,71.36,44.64,46.64,56.36
36.96,68.72,41.56,38.36,56.68
38.16,75.44,44.64,51.52,55.0
34.56,68.16,48.6,43.08,52.52
39.96,68.12,53.48,52.04,53.32
38.92,68.04,48.48,45.4,54.44
39.76,61.92,50.4,47.28,51.92
34.28,57.72,45.36,38.32,45.08
38.4,70.64,54.0,46.6,60.96
36.48,63.0,49.88,51.16,50.96
39.88,70.2,50.92,50.72,59.08
36.28,70.96,46.12,45.04,56.96
35.32,53.96,34.24,37.92,45.6
36.4,64.88,44.6,44.04,52.84
36.2,60.6,45.12,44.2,47.84
37.48,64.48,42.28,45.92,50.92
36.2,63.96,46.4,45.16,54.04
37.56,60.56,38.72,44.2,52.0
36.48,68.64,46.2,42.2,56.4
37.4,58.92,43.52,39.48,47.36
