"(0, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
18.0,68.4,68.4,21.6,27.6
50.4,60.0,60.0,20.0,27.6
26.8,45.2,45.2,25.6,24.4
30.8,51.2,51.2,31.6,24.0
21.6,95.6,95.6,28.8,35.6
28.4,60.4,60.4,28.8,27.6
32.8,71.2,71.2,24.0,30.8
28.8,78.4,78.4,31.2,26.4
50.0,64.8,64.8,31.6,24.0
38.8,67.6,67.6,26.4,30.4
25.2,37.6,37.6,27.6,32.4
48.8,66.0,66.0,41.6,28.0
37.2,58.8,58.8,30.8,33.2
45.2,67.6,67.6,26.8,39.2
38.4,59.2,59.2,26.0,27.2
34.8,59.2,59.2,30.4,27.6
35.6,63.2,63.2,36.0,32.0
54.0,78.4,78.4,21.2,30.0
27.6,54.4,54.4,30.4,28.8
47.6,60.8,60.8,30.4,26.0
48.0,64.4,64.4,24.8,28.4
34.8,78.8,78.8,24.8,27.6
40.4,58.8,58.8,21.6,32.4
41.6,42.8,42.8,25.2,31.2
33.2,64.8,64.8,25.2,28.0
36.8,61.6,61.6,40.0,28.4
38.0,65.2,65.2,32.0,30.4
29.6,30.0,30.0,27.6,29.6
52.8,68.8,68.8,42.8,29.6
32.4,33.6,33.6,26.8,28.8
19.6,50.8,50.8,21.6,30.8
49.2,55.2,55.2,24.0,33.2
49.6,87.2,87.2,44.0,33.6
28.4,55.2,55.2,21.6,29.6
22.4,30.8,30.8,28.0,24.4
23.2,50.4,50.4,19.2,26.4
18.4,61.6,61.6,47.2,24.8
56.0,99.2,99.2,45.6,26.8
51.6,38.0,38.0,25.6,28.8
66.4,66.0,66.0,20.8,36.8
29.6,48.0,48.0,29.2,27.2
46.4,65.2,65.2,29.6,27.6
56.0,71.6,71.6,23.6,30.4
24.0,60.8,60.8,26.0,28.4
48.8,64.0,64.0,32.4,23.6
46.4,62.8,62.8,30.0,22.4
65.6,65.6,65.6,24.0,24.4
23.2,59.2,59.2,23.2,20.0
29.2,72.4,72.4,18.8,22.8
48.4,59.2,59.2,31.6,22.0
38.8,75.6,75.6,23.6,21.6
28.8,64.0,64.0,24.0,28.8
44.8,71.6,71.6,20.0,33.2
33.2,68.8,68.8,21.2,29.6
24.4,80.8,80.8,25.6,31.6
30.8,40.0,40.0,42.4,25.6
34.0,66.0,66.0,33.2,26.4
28.0,63.2,63.2,29.2,24.4
27.2,66.8,66.8,32.0,29.6
46.4,62.8,62.8,27.2,31.6
46.0,67.2,67.2,34.4,28.0
62.8,55.2,55.2,47.2,26.8
53.2,101.2,101.2,21.2,31.2
45.2,65.2,65.2,26.0,29.6
57.6,80.0,80.0,30.0,36.0
30.8,77.2,77.2,25.2,40.4
38.0,50.8,50.8,24.8,31.6
52.0,71.2,71.2,21.6,44.8
24.4,55.6,55.6,31.6,50.4
42.4,40.8,40.8,28.8,28.8
47.6,80.0,80.0,41.6,32.4
41.6,62.0,62.0,32.8,39.2
29.2,57.2,57.2,32.4,38.0
32.0,51.2,51.2,28.0,39.2
48.4,50.4,50.4,20.0,38.0
41.2,68.4,68.4,28.0,40.8
32.4,62.4,62.4,24.0,28.8
32.0,51.2,51.2,25.6,27.2
30.4,71.2,71.2,25.2,32.8
41.6,45.6,45.6,30.0,38.8
30.4,53.2,53.2,25.2,26.8
34.4,46.8,46.8,22.0,25.2
46.0,74.8,74.8,43.2,44.4
38.8,50.0,50.0,21.2,20.4
34.0,68.4,68.4,26.0,26.8
31.6,56.0,56.0,36.0,36.4
26.0,78.4,78.4,27.2,27.6
26.8,71.2,71.2,28.8,36.4
28.0,88.4,88.4,28.8,42.4
32.8,86.8,86.8,32.4,36.0
54.0,79.2,79.2,31.2,40.0
62.8,89.6,89.6,47.6,32.4
36.8,38.8,38.8,18.8,33.2
39.2,57.6,57.6,34.4,26.8
37.2,54.4,54.4,28.8,30.0
65.2,93.2,93.2,30.8,54.4
37.2,60.8,60.8,29.6,40.8
43.6,54.0,54.0,23.6,33.6
21.2,34.8,34.8,29.2,30.4
30.4,58.0,58.0,23.6,36.4
27.6,58.0,58.0,32.4,31.6
34.0,64.0,64.0,23.6,36.0
42.0,68.8,68.8,22.8,31.2
45.6,62.0,62.0,21.6,31.6
40.0,87.2,87.2,25.6,32.8
54.0,95.2,95.2,66.4,32.4
21.2,28.8,28.8,42.8,18.4
29.2,51.2,51.2,44.0,19.6
20.4,95.6,95.6,60.8,27.6
23.6,43.6,43.6,36.4,25.6
24.0,48.4,48.4,28.8,29.2
21.2,82.4,82.4,50.8,31.6
30.0,65.2,65.2,37.2,42.0
40.0,74.8,74.8,47.2,40.8
41.6,30.4,30.4,36.0,26.8
33.6,76.4,76.4,55.6,40.8
32.8,48.4,48.4,48.0,26.4
47.6,86.4,86.4,54.8,38.4
34.4,46.8,46.8,37.6,30.4
46.0,63.6,63.6,34.0,38.4
24.0,65.2,65.2,52.8,35.6
34.4,75.6,75.6,66.8,37.2
29.2,68.4,68.4,38.0,51.2
24.4,87.6,87.6,36.8,36.4
34.0,48.4,48.4,22.0,32.0
33.6,86.0,86.0,35.2,32.8
27.2,50.8,50.8,46.0,30.8
23.2,49.2,49.2,30.8,34.4
22.4,30.4,30.4,29.2,29.6
