,mean,Standard deviation
"('q_value_sampling', 'moment_updating', 1, 5, 0.75, 1)",148.84,29.73237965585668
"('q_value_sampling', 'moment_updating', 1, 5, 1, 1)",151.36,27.926875944151003
"('q_value_sampling', 'moment_updating', 1, 5, 1.5, 1)",156.96,26.809669897259084
"('q_value_sampling', 'moment_updating', 1, 5, 2, 1)",167.4,34.07110212482126
"('q_value_sampling', 'moment_updating', 1, 5, 3, 1)",170.4,25.279240494919936
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.01, 1)",144.8,34.10102637751539
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.05, 1)",158.24,34.186874674354186
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.1, 1)",161.84,37.34132295460352
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.25, 1)",153.92,38.68428104540655
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.5, 1)",162.76,36.60795541955328
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.75, 1)",162.56,41.84359449186936
"('q_value_sampling', 'moment_updating', 0.1, 2, 1, 1)",160.12,36.038668121893735
"('q_value_sampling', 'moment_updating', 0.1, 2, 1.5, 1)",172.88,53.36689610610683
"('q_value_sampling', 'moment_updating', 0.1, 2, 2, 1)",164.76,37.41420051263958
"('q_value_sampling', 'moment_updating', 0.1, 2, 3, 1)",170.96,32.63186173052344
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 0.01, 1)",152.88,51.05629833820701
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 0.05, 1)",165.68,59.332770034779266
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 0.1, 1)",195.88,69.66940217914892
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 0.25, 1)",206.6,73.71539866269462
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 0.5, 1)",197.92,52.89984499032109
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 0.75, 1)",206.88,54.53242705033401
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 1, 1)",203.92,57.11316485715005
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 1.5, 1)",204.84,49.133434644852585
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 2, 1)",208.12,35.10307109071797
"('q_value_sampling', 'moment_updating', 0.1, 1.1, 3, 1)",208.48,41.842676778619214
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 0.01, 1)",163.44,59.86790793071026
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 0.05, 1)",198.84,51.06715578529903
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 0.1, 1)",192.92,48.4515593144328
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 0.25, 1)",212.48,58.58813531765625
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 0.5, 1)",227.24,67.43517183191571
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 0.75, 1)",213.4,57.95204914409843
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 1, 1)",225.84,72.32575198364688
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 1.5, 1)",233.8,57.2939787412255
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 2, 1)",232.96,55.30748954707671
"('q_value_sampling', 'moment_updating', 0.1, 1.01, 3, 1)",271.16,76.37810157368406
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 0.01, 1)",186.0,60.15712759100122
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 0.05, 1)",216.72,61.13821718041834
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 0.1, 1)",231.28,62.92695447898301
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 0.25, 1)",231.6,60.09725451299752
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 0.5, 1)",251.84,67.86320357896464
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 0.75, 1)",276.4,73.64889680097048
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 1, 1)",258.92,69.49901869810826
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 1.5, 1)",286.2,79.12243676732915
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 2, 1)",269.76,63.85438434438155
"('q_value_sampling', 'moment_updating', 0.1, 1.001, 3, 1)",274.28,54.18931259944161
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 0.01, 1)",227.2,59.3983164744591
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 0.05, 1)",264.12,72.31974557477369
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 0.1, 1)",259.64,62.36882554610116
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 0.25, 1)",277.04,59.78259278418761
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 0.5, 1)",265.04,64.12642513036259
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 0.75, 1)",284.04,62.20673918475393
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 1, 1)",283.12,80.27169862411036
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 1.5, 1)",270.88,74.41952431989874
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 2, 1)",264.76,59.567628792826724
"('q_value_sampling', 'moment_updating', 0.1, 1.0001, 3, 1)",256.24,67.40639732250938
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 0.01, 1)",154.08,45.51036804948956
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 0.05, 1)",158.48,47.27208055501682
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 0.1, 1)",166.2,59.15978363719732
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 0.25, 1)",186.4,58.41643604329179
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 0.5, 1)",185.48,53.64447408633996
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 0.75, 1)",196.8,47.240660452622805
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 1, 1)",206.2,66.27729626350188
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 1.5, 1)",194.4,45.46647116282503
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 2, 1)",200.56,56.26798734626999
"('q_value_sampling', 'moment_updating', 0.1, 1.25, 3, 1)",210.08,63.54961526240738
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 0.01, 1)",152.48,29.77934854895251
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 0.05, 1)",149.08,53.41192376239598
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 0.1, 1)",155.0,50.498712854883735
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 0.25, 1)",162.8,50.12783657809301
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 0.5, 1)",180.44,61.70029497498371
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 0.75, 1)",197.24,63.48277246623686
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 1, 1)",210.52,73.39625058543521
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 1.5, 1)",192.88,64.59988854479549
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 2, 1)",208.96,70.88948017865556
"('q_value_sampling', 'moment_updating', 0.1, 1.5, 3, 1)",206.44,57.29124191357698
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 0.01, 1)",149.4,36.49273900380732
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 0.05, 1)",158.92,33.26069151415827
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 0.1, 1)",150.36,35.520563058600295
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 0.25, 1)",161.88,44.8738855014807
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 0.5, 1)",175.64,51.48776942148494
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 0.75, 1)",174.72,48.40621447706895
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 1, 1)",190.32,71.88697795845921
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 1.5, 1)",171.6,35.051961428713234
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 2, 1)",177.84,43.17562275173342
"('q_value_sampling', 'moment_updating', 0.1, 1.75, 3, 1)",204.88,55.19878259527107
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.01, 1)",144.8,34.10102637751539
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.05, 1)",158.24,34.186874674354186
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.1, 1)",161.84,37.34132295460352
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.25, 1)",153.92,38.68428104540655
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.5, 1)",162.76,36.60795541955328
"('q_value_sampling', 'moment_updating', 0.1, 2, 0.75, 1)",162.56,41.84359449186936
"('q_value_sampling', 'moment_updating', 0.1, 2, 1, 1)",160.12,36.038668121893735
"('q_value_sampling', 'moment_updating', 0.1, 2, 1.5, 1)",172.88,53.36689610610683
"('q_value_sampling', 'moment_updating', 0.1, 2, 2, 1)",164.76,37.41420051263958
"('q_value_sampling', 'moment_updating', 0.1, 2, 3, 1)",170.96,32.63186173052344
"('q_value_sampling', 'moment_updating', 0.1, 5, 0.01, 1)",152.8,45.290175535098115
"('q_value_sampling', 'moment_updating', 0.1, 5, 0.05, 1)",151.24,45.76267474700315
"('q_value_sampling', 'moment_updating', 0.1, 5, 0.1, 1)",146.8,32.78292238346057
