greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
32.68,41.84,31.6,32.6
34.0,36.84,31.92,31.88
29.04,36.8,31.84,31.76
29.2,38.4,30.16,33.08
29.44,38.84,31.88,33.04
27.88,34.92,31.52,34.6
31.48,35.16,35.88,34.12
30.56,34.28,34.8,32.76
28.36,35.16,26.44,32.64
32.24,34.96,34.12,33.64
34.2,34.24,32.0,34.08
31.72,34.48,32.6,30.4
27.08,35.64,32.44,31.72
29.08,35.56,30.44,33.2
33.64,34.8,33.0,30.56
24.88,32.48,33.04,35.08
26.72,37.52,31.96,35.88
28.72,38.32,30.76,34.2
36.36,34.4,32.16,34.76
35.96,38.64,25.0,31.64
28.6,39.92,27.28,36.16
34.24,40.4,36.04,34.64
30.28,32.8,32.84,32.72
28.8,32.36,34.32,31.92
34.4,33.96,30.64,32.6
38.28,34.24,29.32,33.28
29.76,40.12,31.52,34.88
24.48,35.64,26.8,33.0
33.88,35.32,31.44,34.04
29.12,42.84,30.2,32.16
27.96,39.68,29.2,31.72
26.16,32.68,30.4,32.28
30.2,37.56,30.6,31.96
31.92,41.8,32.92,32.56
29.28,34.64,31.2,34.2
31.36,37.48,30.52,31.76
25.92,35.28,29.04,32.0
32.44,34.36,34.4,35.84
32.44,38.16,31.68,31.64
35.2,35.72,29.52,30.6
27.76,31.84,31.68,31.52
28.0,35.48,29.0,33.36
29.12,38.88,36.32,33.16
34.48,34.44,34.72,34.2
31.88,36.8,32.56,31.92
28.52,34.0,29.4,32.32
28.92,35.44,30.6,35.88
30.52,36.92,30.56,33.76
27.72,36.12,30.24,31.72
33.44,34.16,29.72,35.12
31.2,37.64,33.96,33.48
36.8,42.0,29.04,34.0
26.52,33.64,33.84,33.16
31.72,39.28,26.24,33.04
32.28,39.52,27.68,36.72
29.28,36.84,30.24,36.28
30.6,40.0,31.76,34.32
26.28,38.56,30.4,35.8
31.6,39.76,27.0,32.76
31.0,42.36,28.68,36.52
29.04,40.28,30.2,31.28
30.48,37.4,30.28,35.32
31.72,38.72,33.12,36.32
28.88,32.92,34.76,33.72
28.92,35.04,36.84,33.92
28.12,36.8,35.08,33.4
28.76,37.12,28.24,35.64
30.64,42.24,28.56,32.52
33.0,35.6,33.72,31.96
32.84,35.72,32.52,34.92
29.76,37.44,28.36,33.36
31.8,35.52,29.6,34.8
36.56,33.44,27.6,31.16
33.24,39.36,33.08,34.0
31.92,31.32,34.92,32.72
26.88,31.24,30.96,37.16
34.04,38.28,30.72,33.76
30.52,37.52,31.72,37.4
31.16,35.64,31.6,37.32
27.56,38.44,33.56,33.84
34.2,40.0,33.36,32.16
29.56,36.36,31.76,33.4
28.8,39.2,31.92,38.64
27.32,35.72,33.6,33.2
28.32,43.52,33.72,33.52
36.44,33.16,31.48,34.68
36.28,35.8,27.92,33.52
29.48,38.32,33.48,36.36
34.08,40.6,36.28,37.16
31.16,34.92,29.48,33.6
29.8,32.64,30.24,35.6
28.96,43.12,32.32,40.48
32.76,38.76,29.96,36.72
30.32,34.64,27.84,36.88
24.64,44.2,30.44,37.72
30.84,39.56,32.68,39.92
27.76,35.2,32.72,33.68
27.28,40.04,34.24,36.92
30.52,39.68,33.2,36.68
33.84,38.6,29.64,35.08
30.28,31.28,29.92,33.52
32.48,36.48,33.12,34.24
31.6,32.52,30.88,33.76
29.96,39.08,36.0,33.76
31.56,40.24,31.16,35.16
31.2,31.2,30.32,32.56
27.2,32.36,26.72,36.28
29.6,39.72,32.96,34.2
29.2,35.88,31.48,33.72
30.04,43.84,34.6,32.88
29.84,38.2,31.64,31.12
36.88,39.64,35.72,31.24
31.16,33.72,27.52,32.48
30.12,35.44,35.44,39.16
32.64,34.88,33.4,34.12
30.84,30.92,25.44,32.2
28.6,38.16,27.6,34.6
32.0,38.04,30.0,38.32
33.56,39.04,32.0,32.6
27.16,38.04,29.56,34.08
27.4,38.56,29.36,35.4
31.44,37.28,33.0,36.12
32.72,32.68,33.6,36.44
32.92,35.32,34.8,37.84
27.32,34.8,27.96,34.0
33.32,39.44,29.44,36.56
31.96,36.4,32.4,36.2
31.4,35.16,35.48,38.92
30.28,39.0,29.76,33.36
30.64,38.28,30.6,35.88
28.36,36.6,29.76,36.08
27.8,36.04,33.44,37.52
30.84,36.52,31.68,32.92
29.64,40.92,31.28,36.32
33.12,40.68,27.48,35.76
34.48,37.36,34.24,33.96
29.12,42.6,31.84,37.84
31.24,33.96,36.8,35.44
29.08,33.96,33.84,33.6
34.12,35.44,34.0,33.12
29.68,35.68,33.0,32.72
33.44,43.12,33.48,34.92
29.12,38.36,30.6,35.56
30.16,39.68,30.28,37.84
31.2,35.2,32.44,33.0
36.12,36.92,35.28,35.32
33.44,38.52,32.96,37.64
