"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
36.64,53.24,36.4
35.32,58.48,35.2
34.76,52.88,36.76
35.72,53.96,37.28
37.44,51.8,37.12
37.4,53.72,38.16
34.04,48.8,34.84
35.84,52.8,37.04
34.2,54.56,33.92
35.56,53.28,36.52
36.44,53.68,35.04
35.48,49.88,36.12
34.8,57.68,35.2
35.48,52.2,38.68
34.64,55.68,35.08
35.52,56.0,36.8
36.04,47.48,35.96
34.2,56.24,37.2
38.88,48.0,36.72
36.64,50.76,37.16
36.8,53.88,36.2
36.8,52.92,34.92
37.36,53.68,37.04
36.84,46.68,35.8
35.04,56.32,35.76
33.44,59.16,34.28
35.72,55.04,35.04
37.04,47.44,36.04
36.2,44.8,36.68
34.52,52.08,34.96
37.36,51.04,38.04
33.28,48.96,34.12
38.4,51.4,36.2
37.88,47.28,34.52
33.16,49.52,34.88
34.36,47.64,35.36
35.92,49.6,38.84
36.76,53.36,35.08
36.68,51.72,34.56
35.32,54.72,36.56
35.96,52.6,35.04
36.8,50.12,33.64
38.8,56.52,36.36
35.6,50.6,36.36
33.24,50.92,37.68
35.52,49.88,33.28
36.56,50.4,34.72
37.28,54.52,37.44
36.56,49.88,37.4
34.2,60.48,35.24
35.32,43.96,36.12
36.84,62.32,35.68
33.64,52.44,39.92
37.04,48.24,34.52
39.12,51.92,36.08
37.16,49.96,37.4
32.44,54.76,33.84
35.2,56.6,37.28
33.44,50.44,38.24
34.6,54.96,36.76
36.96,50.32,34.72
37.52,53.0,37.08
33.72,60.8,34.36
33.2,50.6,35.48
34.8,52.32,34.8
34.6,48.6,35.96
35.12,50.32,38.32
34.2,47.52,36.96
34.12,54.92,37.96
35.72,55.04,36.68
40.72,52.72,37.2
37.16,49.44,34.68
39.12,53.56,36.08
35.6,59.76,38.24
34.84,53.2,35.72
33.68,50.36,34.0
35.52,55.16,34.92
35.64,50.64,35.88
33.28,58.12,37.96
32.76,49.6,36.28
35.84,44.56,35.88
35.52,52.72,37.92
38.92,51.32,36.04
37.52,48.92,35.08
37.64,57.8,35.6
34.68,55.92,35.12
34.84,52.84,33.96
35.48,52.36,36.64
33.52,57.36,34.88
37.0,54.72,36.68
34.84,56.64,35.96
35.96,51.04,36.6
40.68,49.72,35.88
35.64,52.84,35.52
36.96,53.72,34.32
37.04,51.76,35.56
37.04,48.56,35.08
34.72,50.76,33.56
37.56,51.2,37.36
33.8,59.4,35.44
32.88,57.0,34.68
34.84,52.52,35.44
39.16,49.08,34.6
35.04,54.88,39.64
36.64,52.44,34.72
33.56,55.6,35.64
33.6,60.12,36.32
37.4,56.28,34.48
34.72,52.32,36.48
37.28,61.24,35.44
37.56,49.92,34.88
36.4,58.84,36.24
35.16,46.88,36.64
36.96,53.0,35.28
36.0,53.8,34.24
37.56,53.76,36.8
39.72,48.2,34.56
37.04,49.88,37.0
37.6,51.52,35.88
35.0,53.56,36.72
38.24,51.36,34.92
37.08,52.56,36.28
34.04,51.16,37.6
36.16,48.32,36.16
32.76,50.88,36.44
35.4,57.32,39.28
34.48,52.24,33.48
33.8,56.36,35.04
34.8,51.12,36.72
35.96,54.96,36.04
35.44,57.96,35.84
35.52,51.08,38.92
36.0,50.04,35.2
39.04,49.8,36.2
36.92,53.2,38.52
36.28,56.92,34.68
37.36,52.2,36.36
34.84,50.08,36.8
34.52,52.32,37.2
41.32,56.8,35.36
